happy joy love / sad,empathy / apathy,hope / despair,agree / disagree,compliment praise / criticize,calm / concern fear anxiety,comfort / pain discomfort,surprise awe / ,satisfaction / , / frustration anger, / annoyance
100.152220077,96.1130058965,31.256083095,2.23993752079,141.72231992,-87.6746791098,-30.5015980241,96.8613257958,49.485713759,-95.2243886395,22.6045554708
100.152220077,96.1130058965,31.256083095,2.23993752079,141.72231992,-87.6746791098,-30.5015980241,96.8613257958,49.485713759,-95.2243886395,22.6045554708
100.152220077,96.1130058965,31.256083095,2.23993752079,141.72231992,-87.6746791098,-30.5015980241,96.8613257958,49.485713759,-95.2243886395,22.6045554708
97.1146911413,93.1470795079,30.2827110181,2.18465802592,137.303751691,-84.9937852395,-29.5419145894,93.9088962155,47.9787331405,-92.3200164119,21.88150093
96.5374827859,92.5931475029,30.100387741,2.17543617051,136.487432189,-84.4893862926,-29.3758787141,93.3499945602,47.6952073585,-91.7736296873,21.7474657094
95.5730571274,91.6473277544,29.7708441902,2.15416741128,135.069306918,-83.6597262612,-29.10960911,92.4175257019,47.2200462907,-90.8627225774,21.4934838351
95.3560012224,91.4355750364,29.7015629757,2.15037917014,134.753195558,-83.4667382821,-29.0440893934,92.202492298,47.1125138558,-90.6532947068,21.4447377953
93.4799215129,89.6057780483,29.0688936925,2.11434998057,132.016711033,-81.8581920529,-28.5348359601,90.3947989802,46.1871042915,-88.8853554501,20.9736163517
96.9972996612,92.9508204702,30.1471427749,2.18762051664,136.933688527,-84.9280936572,-29.595484872,93.7853400894,47.9168193642,-92.2145882142,21.7571557338
96.9972996612,92.9508204702,30.1471427749,2.18762051664,136.933688527,-84.9280936572,-29.595484872,93.7853400894,47.9168193642,-92.2145882142,21.7571557338
94.4771009686,90.5466778372,29.3222966493,2.12856023507,133.355737165,-82.8137806523,-28.9754522628,91.3907014186,46.6903202722,-89.8925206218,21.1443855733
88.1061820659,84.4916124715,27.378194365,1.9770939967,124.440791208,-77.2805986886,-27.0337765348,85.2621654693,43.5458556606,-83.8621928772,19.746609917
88.1061820659,84.4916124715,27.378194365,1.9770939967,124.440791208,-77.2805986886,-27.0337765348,85.2621654693,43.5458556606,-83.8621928772,19.746609917
85.6412290364,82.1376393806,26.5966831958,1.91278452166,120.975069055,-75.1381752698,-26.2906432463,82.8871723744,42.3310487535,-81.5321061367,19.1772338361
85.9007102757,82.4346466365,26.6957070522,1.90528461476,121.44614845,-75.3763878071,-26.4106222833,83.1491319497,42.4633111024,-81.7861792952,19.2696852445
86.1036284136,82.6035907716,26.7165923266,1.90720034876,121.682791046,-75.5617803933,-26.4790484927,83.3381843941,42.5606258402,-81.9698865942,19.2696664429
83.2076386028,79.8278688835,25.8329699754,1.83824757768,117.601016683,-72.989773226,-25.5727608743,80.5178717425,41.1245861175,-79.1918196741,18.6366387146
85.3265377233,81.895643632,26.5127768546,1.8833913864,120.67528335,-74.816503477,-26.1803459625,82.5563780728,42.1748596965,-81.1908058522,19.1384834362
87.4753958235,83.9900697663,27.1957469615,1.91809352091,123.78365996,-76.7181552855,-26.8978751339,84.6519363007,43.240937441,-83.256063131,19.6463423811
87.380489663,83.8612880738,27.1095776519,1.9176252703,123.535661837,-76.6794862887,-26.9232957173,84.5742626143,43.1995367699,-83.191136864,19.5504104098
87.346573021,83.7873597853,27.0674411336,1.92241809216,123.393353468,-76.6497307974,-26.9207353511,84.5385430937,43.1827156922,-83.1508547991,19.4945281202
87.047938158,83.4728148608,26.9332294717,1.92452162531,122.909912031,-76.387117859,-26.8492231323,84.2481199072,43.0309037555,-82.8551965693,19.3897747568
85.9210169677,82.3720313149,26.5427066204,1.89626591672,121.265832995,-75.409331126,-26.5320232466,83.1605031992,42.4766315494,-81.7909526215,19.0900491577
86.1338480121,82.5717955527,26.6068554572,1.90446711861,121.559610408,-75.5872307033,-26.5914589937,83.361440402,42.5799671374,-81.9862340385,19.1345066689
86.1338480121,82.5717955527,26.6068554572,1.90446711861,121.559610408,-75.5872307033,-26.5914589937,83.361440402,42.5799671374,-81.9862340385,19.1345066689
85.5879760894,82.0480854326,26.4344338155,1.8958245093,120.788220069,-75.1098229025,-26.4350980302,82.8324244725,42.3117972584,-81.4693209343,19.0078042275
83.5747505634,80.1271265139,25.8630474687,1.85439142914,117.998615687,-73.2888945806,-25.7151982173,80.8562448079,41.3082010033,-79.5171888183,18.6139458058
84.6606498027,81.1387672872,26.1760300189,1.88236718231,119.466647926,-74.2326645682,-26.0657631171,81.9018494479,41.8441396851,-80.5448903209,18.826064581
85.3239723176,81.7903069421,26.4051762978,1.89691291255,120.441784229,-74.8100155872,-26.2508204472,82.5426794203,42.1707716487,-81.1730265,19.0087287196
86.5793186092,83.0063764673,26.8050170004,1.92350908323,122.245142783,-75.9158460805,-26.6295144926,83.7603996628,42.7898731242,-82.3725371268,19.3123957237
86.5793186092,83.0063764673,26.8050170004,1.92350908323,122.245142783,-75.9158460805,-26.6295144926,83.7603996628,42.7898731242,-82.3725371268,19.3123957237
85.8242710341,82.2682411982,26.5532688481,1.90796409027,121.140292976,-75.2689013029,-26.4148995968,83.0324657162,42.4155954264,-81.6597737536,19.1244531069
86.1866255463,82.6195938985,26.6675783707,1.91506429927,121.66365342,-75.5907442581,-26.526313766,83.3884801403,42.5951114662,-82.0090524221,19.2054363317
86.8834510448,83.3026143834,26.8996753101,1.93106811465,122.685040662,-76.1952400067,-26.7266165014,84.0633605733,42.9390585474,-82.6711136169,19.3854650459
88.8899595753,85.2715339246,27.5943099527,1.97381467306,125.641725166,-77.8980754854,-27.2778465129,85.9975623353,43.9284347816,-84.5605004788,19.912009198
89.7273764492,86.0725706107,27.8694325877,1.99092001428,126.82578189,-78.6127235952,-27.5238231439,86.7988691985,44.3384772377,-85.3462281611,20.1135582923
91.122039872,87.4265782411,28.3300600587,2.02142454009,128.846936732,-79.8012739641,-27.9108645015,88.1348481915,45.0280220977,-86.6547551899,20.4543234581
91.122039872,87.4265782411,28.3300600587,2.02142454009,128.846936732,-79.8012739641,-27.9108645015,88.1348481915,45.0280220977,-86.6547551899,20.4543234581
89.0643114675,85.4279776673,27.6602928126,1.97921518588,125.86392439,-78.0285931988,-27.3307798586,86.1542882085,44.0111463439,-84.7147507216,19.9566790365
88.8514804231,85.2282134295,27.5961439757,1.97101398399,125.570146976,-77.8506936215,-27.2713441116,85.9533510056,43.9078107559,-84.5194693046,19.9122215253
88.8514804231,85.2282134295,27.5961439757,1.97101398399,125.570146976,-77.8506936215,-27.2713441116,85.9533510056,43.9078107559,-84.5194693046,19.9122215253
88.5878108235,84.9764439335,27.5168129272,1.96552832652,125.199303766,-77.6198913329,-27.1904413923,85.6968666474,43.7777969851,-84.2687504485,19.8564736032
90.3324942746,86.6920437464,28.0731021812,1.99083470785,127.760225868,-79.1699685098,-27.7682515215,87.4028834377,44.6481584739,-85.9498487794,20.2677081419
90.0939324606,86.4594008721,28.0005039057,1.98627299422,127.415833116,-78.9562907604,-27.6876289175,87.1701735626,44.5298658644,-85.7202161183,20.2132992099
90.8732642463,87.2184185828,28.2515962144,2.00151208379,128.551426065,-79.6272891885,-27.9050245066,87.9199922312,44.9157315652,-86.456339512,20.3978830848
92.4365306693,88.7587475175,28.764131117,2.03402989148,130.863381357,-80.9762834473,-28.3455329537,89.4300563837,45.6900835375,-87.9374430894,20.7880605615
93.9600490574,90.2441499641,29.2606252743,2.06663935158,133.083543606,-82.2919455453,-28.7777345614,90.9000782269,46.4429156919,-89.379537981,21.1612990901
91.964130187,88.3688440743,28.6734116723,2.00337006768,130.370788261,-80.5534934656,-28.1579759988,88.9731503059,45.4616562169,-87.4936736906,20.7542054916
