happy joy love / sad,empathy / apathy,hope / despair,agree / disagree,compliment praise / criticize,calm / concern fear anxiety,comfort / pain discomfort,surprise awe / ,satisfaction / , / frustration anger, / annoyance
83.5397506956,80.2549168661,26.2583242804,1.87276572896,118.48164021,-72.9681904077,-25.1566147748,80.7290100715,41.2577989476,-79.3255281195,19.0691214557
84.4783053253,81.1736300134,26.5312801873,1.88246313859,119.839278753,-73.8420508144,-25.5303425902,81.6626355078,41.7293900924,-80.2517901906,19.262011125
86.4318087295,82.9937123485,27.061707615,1.9388824845,122.430397648,-75.6030254279,-26.1922119052,83.5721797777,42.699623169,-82.1383610632,19.6051534019
84.9180947298,81.4471332632,26.5031531936,1.91678675802,120.048743724,-74.2904985005,-25.7544163869,82.1013640032,41.9470800238,-80.7028935438,19.154917962
86.6921461337,83.1361006133,27.0459854613,1.95751649076,122.541286692,-75.8236407294,-26.2997906594,83.8021398923,42.8275965018,-82.3843022134,19.5437040561
85.7277204752,82.1902808647,26.7164419105,1.93624773153,121.123161421,-74.993980698,-26.0335210554,82.8696710339,42.3524354339,-81.4733951035,19.2897221818
86.5014809289,82.9360909384,26.9590171059,1.95328339732,122.232949113,-75.6626197728,-26.2531900233,83.6092749109,42.7344120604,-82.2004345332,19.4651602893
84.6254012194,81.1062939503,26.3263478227,1.91725420775,119.496464588,-74.0540735435,-25.7439365901,81.8015815931,41.8090024962,-80.4324952766,18.9940388457
86.2022216798,82.5677832406,26.7661006197,1.95087793896,121.605050889,-75.4486724796,-26.2518289819,83.3255140571,42.5819774726,-81.9280881446,19.2967559515
86.8293780452,83.172317138,26.9730619824,1.96770618354,122.503766342,-75.9938099866,-26.4397395954,83.931880561,42.8910888477,-82.5218442955,19.4437810678
81.6807975077,78.2499511489,25.3739830454,1.85852337098,115.24448719,-71.5312435337,-24.9113752735,78.9656688758,40.358497095,-77.6604924416,18.288571912
75.548440419,72.4275286576,23.5024790367,1.71161884624,106.673933986,-66.2117393193,-23.0503221495,73.0698428017,37.3323250929,-71.8597973581,16.9452051876
76.150359757,72.9817674499,23.6484066664,1.72715441101,107.447323104,-66.7775660711,-23.2760454683,73.6670495483,37.6348715031,-72.4569322858,17.0293019306
74.4153431691,71.3412991459,23.108183315,1.67970391433,105.047347757,-65.2675555667,-22.7440441937,71.9987779427,36.7803105167,-70.8203596485,16.645937322
74.6255740667,71.5700378217,23.2503537117,1.69041408766,105.443847305,-65.3634389873,-22.7242232796,72.1757149838,36.8728437661,-70.9683639509,16.7764036753
72.5410781966,69.5174489646,22.5293427529,1.65108898524,102.357088522,-63.5774393994,-22.1530628039,70.166001,35.8413293942,-68.9944293077,16.2291019245
70.5273404738,67.6179977698,21.92347696,1.59062660892,99.5818068455,-61.8115535451,-21.5826227115,68.220902728,34.8484413463,-67.0820121228,15.8026106121
