happy joy love / sad,empathy / apathy,hope / despair,agree / disagree,compliment praise / criticize,calm / concern fear anxiety,comfort / pain discomfort,surprise awe / ,satisfaction / , / frustration anger, / annoyance
42.011493055,40.4763852076,13.3282243181,0.914419903172,59.8965812118,-36.635903474,-12.5950311761,40.6057405635,20.7562695748,-39.8923707653,9.75050419766
44.156092642,42.4965014253,13.9662758374,0.98099557297,62.8262994774,-38.4984237091,-13.2537471385,42.6748957914,21.8101837044,-41.9161370446,10.1957596584
47.956332298,46.1236019481,15.1522322123,1.07033058451,68.1659145254,-41.7852870388,-14.3882768055,46.3368048846,23.6787679811,-45.5006233544,11.0606008361
46.2568941792,44.4327862226,14.5819363534,1.04743992723,65.6218291904,-40.299620718,-13.8491078376,44.6770659833,22.8341108037,-43.8732557623,10.61966259
47.0762217618,45.2267238407,14.8415277899,1.06997736967,66.8007704366,-41.0309992174,-14.1093987021,45.4660120251,23.2435915869,-44.6602470437,10.8082727571
46.1117961033,44.2809040921,14.5119842391,1.04870861044,65.3826451653,-40.201339186,-13.843129098,44.5335431667,22.768430519,-43.7493399338,10.5542908829
47.3507934303,45.4728450305,14.8975156113,1.07322823262,67.1418981845,-41.2961442922,-14.2200972564,45.7328883036,23.3782220638,-44.9276848906,10.8465496425
46.6657059892,44.7575560583,14.5851330544,1.06608974952,66.00343604,-40.7862096579,-14.1292810877,45.0924002896,23.0471888233,-44.323388422,10.5815117965
49.3299278644,47.3453062742,15.446276564,1.12313427747,69.8632865849,-43.106641942,-14.8988344363,47.6699487019,24.3636658602,-46.8515286585,11.2183426545
51.3575480657,49.3312878379,16.131293305,1.16440625722,72.8455564608,-44.8378716481,-15.4446030663,49.6194841162,25.366165018,-48.7605056494,11.7282515515
46.4069808013,44.6166629143,14.6317976108,1.05530710908,65.9095052,-40.5122255049,-13.9359098951,44.8427226123,22.9268668071,-44.0702542338,10.6574987071
40.0360618986,38.5615975486,12.6876953265,0.903840870706,56.9945592434,-34.9790435412,-11.9942341671,38.7141866631,19.7824021955,-38.0399264892,9.25972305084
41.8577792085,40.3383196398,13.3195309497,0.940897926158,59.6465311381,-36.5339316409,-12.4826725714,40.4673657092,20.6780237307,-39.753263649,9.73539453242
39.54983795,38.137245216,12.5882790294,0.8799331962,56.4071692334,-34.5302180936,-11.7882455166,38.2448233557,19.5408293578,-37.5732557192,9.2038107213
38.6542048032,37.3002988513,12.3517357284,0.855618116237,55.2203329603,-33.7045068807,-11.4692194677,37.3651609837,19.092893879,-36.697543518,9.05286702145
38.3379030759,36.9499191984,12.1841148183,0.851078769548,54.6556326415,-33.4683439247,-11.4180867423,37.063810172,18.9339923989,-36.4008433955,8.90540615999
36.2513477475,34.9769170624,11.6118706347,0.801052803469,51.7856114891,-31.5697018239,-10.7096331452,35.0177666941,17.8962171161,-34.3781573923,8.51117597139
36.8006781196,35.4687929469,11.744137371,0.817213868177,52.4829406515,-32.055970305,-10.9148112987,35.5433394475,18.1671227856,-34.896437772,8.59260565019
38.760976904,37.3357743487,12.3602389986,0.866725663893,55.2276886477,-33.7672737184,-11.5194852263,37.4288575105,19.1326942021,-36.7494137996,9.04162271797
38.2609767577,36.847853464,12.199482485,0.855500994971,54.4967204023,-33.3344688476,-11.3794633643,36.9427331381,18.88580992,-36.2721805031,8.91603547976
36.8192456178,35.4568156815,11.7469695625,0.829433854215,52.4385601635,-32.0766839259,-10.9352544425,35.5522486685,18.175715088,-34.9000166407,8.57507192273
35.8954892972,34.5540465252,11.422050853,0.809994588924,51.095851634,-31.288377375,-10.6844933968,34.6663748068,17.7202346011,-34.0280589312,8.33226046175
34.7685681069,33.4532629793,11.0315280017,0.78173888034,49.4517725975,-30.3105906421,-10.3672935111,33.5787580988,17.165962395,-32.9638149834,8.03253486259
34.7685681069,33.4532629793,11.0315280017,0.78173888034,49.4517725975,-30.3105906421,-10.3672935111,33.5787580988,17.165962395,-32.9638149834,8.03253486259
34.7685681069,33.4532629793,11.0315280017,0.78173888034,49.4517725975,-30.3105906421,-10.3672935111,33.5787580988,17.165962395,-32.9638149834,8.03253486259
36.4703240682,35.0612842095,11.5044283156,0.826918873745,51.7669904268,-31.8501942703,-10.9451725076,35.2381999012,18.0141595363,-34.6109474319,8.34991177121
34.4570985422,33.1403252908,10.9330419689,0.785485793592,48.9773860455,-30.0292659484,-10.2252726947,33.2620202365,17.0105632812,-32.6588153158,7.95605334955
36.3331782517,34.9701222789,11.5657112521,0.821514983163,51.7138705703,-31.6378121777,-10.7345261279,35.0697135543,17.9359728454,-34.4267545725,8.4271747931
35.7320561929,34.3949915643,11.3781913351,0.807088705801,50.8640860369,-31.1070131347,-10.5489501763,34.4877090379,17.6399256592,-33.854620941,8.29465535448
36.5592667599,35.185322357,11.6379347691,0.825542760317,52.0247339287,-31.8213823816,-10.8020692229,35.2813907534,18.0442088693,-34.6361016328,8.48489951252
43.8455267373,42.0983408219,13.7972906102,1.00159970603,62.1353032715,-38.2601254136,-13.1130684022,42.3338152975,21.6455819404,-41.5840122917,10.010860885
43.0904791622,41.3602055528,13.5455424579,0.986054713074,61.0304534645,-37.6131806361,-12.8984535063,41.6058813508,21.2713042427,-40.8712489186,9.82291826817
