happy joy love / sad,empathy / apathy,hope / despair,agree / disagree,compliment praise / criticize,calm / concern fear anxiety,comfort / pain discomfort,surprise awe / ,satisfaction / , / frustration anger, / annoyance
40.6302842111,39.0682492304,12.7868944359,0.849753542436,57.8340054345,-35.3222134233,-12.1746069346,39.1925800565,20.091190067,-38.5451847503,9.24333259939
46.0233035617,44.2868400297,14.4970933436,0.945942053645,65.584450557,-40.0392750222,-13.8558731153,44.4173719429,22.7685671896,-43.6859167905,10.4865045989
42.4670156487,40.8763448998,13.3596659229,0.863947092222,60.5384934358,-36.9696148913,-12.8172529917,40.9971136484,21.0130959015,-40.3277133118,9.66449141476
44.8122936219,43.1791657908,14.1876304311,0.909535149886,63.9990011245,-38.947083984,-13.4284226687,43.2489267627,22.1717858825,-42.5299111007,10.281317183
46.4797874619,44.8544596059,14.7654528329,0.934829906559,66.5323925271,-40.4350815634,-13.989798771,44.885089382,23.0107734438,-44.1467915783,10.731220115
49.5174979122,47.8588337,15.832795049,0.994692705013,71.0585279028,-43.0414945272,-14.7963113099,47.8255124081,24.5161571786,-47.0274105366,11.5565405243
47.9977546054,46.3873784965,15.3362718375,0.961908797153,68.8704761056,-41.7308549424,-14.3582586553,46.3644108607,23.7622594588,-45.5893646583,11.1937708074
49.0481346251,47.3986594311,15.6674876548,0.99496683663,70.3375934564,-42.6526537373,-14.6604132958,47.3711344361,24.2780094436,-46.5724258037,11.4454630676
50.3286246872,48.671658704,16.0461814994,1.01012663273,72.212971897,-43.8313911756,-15.1695504209,48.63346665,24.9236934557,-47.8306943957,11.7318081727
49.3403533426,47.7297486652,15.7078784104,0.988479739364,70.8188169821,-42.9991210192,-14.9074694045,47.6895632591,24.4418204322,-46.915107293,11.4899054077
51.3721994195,49.662973471,16.331496879,1.03287734097,73.6617762946,-44.7868534557,-15.5294444569,49.6441381413,25.4437626605,-48.8424029705,11.9356332709
52.1666577585,50.4693411762,16.6212231138,1.04744906747,74.879365772,-45.4660600867,-15.7231132539,50.3994425455,25.8440008604,-49.5938209503,12.1551860396
54.9306795269,53.1081769851,17.4474115722,1.11353911304,78.7416017358,-47.945191571,-16.6063373396,53.0903550633,27.2189291372,-52.2540930467,12.7333612768
56.3313443059,54.4892552838,17.9331446895,1.13609872424,80.819231216,-49.1408554642,-16.996163561,54.4393246818,27.9145916763,-53.5809980047,13.1027071179
60.6613861838,58.5456650979,19.1883182222,1.24283940494,86.7224434832,-52.9214168324,-18.3836333953,58.59626011,30.0523195179,-57.681263857,13.9750432163
61.9526658243,59.7566293291,19.5397931044,1.27395320146,88.4647278904,-54.1102735201,-18.8336791567,59.8597224377,30.696224818,-58.9404240868,14.203945598
62.2500852676,60.0654407295,19.684384978,1.28301001096,88.9508439817,-54.3375765421,-18.8829191699,60.1403123644,30.8423000807,-59.2094019121,14.3204380041
63.209543432,61.0090944108,20.0230013931,1.29948390103,90.3727598237,-55.1458445438,-19.1327557171,61.0598589297,31.3180760917,-60.1102719909,14.573225206
60.5565012884,58.4613654498,19.206663467,1.24214376762,86.6011022599,-52.831667035,-18.3379257411,58.5036654296,30.0068752651,-57.593568143,13.9914536646
60.4813979949,58.3754255863,19.1916617673,1.23357716771,86.4810776285,-52.7659130038,-18.3027406579,58.4321239978,29.9629984026,-57.5225226749,13.9772239545
62.4558012236,60.1895547456,19.6730271994,1.28281756018,89.0418237987,-54.6140335592,-19.0558667004,60.3696224908,30.9519290664,-59.4677223103,14.2674451533
63.1335423684,60.8246478192,19.8980170769,1.29137191847,89.9588393407,-55.1858572007,-19.2548139136,61.0075427624,31.2846254597,-60.1033958941,14.4326512995
64.6970997161,62.3679297271,20.4387215159,1.31412970684,92.2766006542,-56.5288444145,-19.6885986171,62.5177786932,32.0613709307,-61.5938649233,14.8442785263
65.2124876964,62.8476521782,20.5741560525,1.32128580626,92.9588245122,-57.0092039503,-19.8732854457,63.0198062284,32.3153845812,-62.1013338402,14.9428509039
67.084363256,64.6179808698,21.1361854587,1.367355503,95.554320953,-58.6358623185,-20.457398589,64.8209939073,33.2389322464,-63.874195078,15.3468149494
71.3391967637,68.7209713408,22.4669018322,1.45579885512,101.643193224,-62.3974167606,-21.7649711945,68.9318503936,35.3484076808,-67.9468875582,16.3207137854
71.5418338664,68.8593910742,22.4362920797,1.46288295124,101.784329925,-62.6523502146,-21.9326993951,69.142757669,35.4535921605,-68.180881402,16.2767982812
69.0306129779,66.5282218934,21.6873539635,1.38147628196,98.3747431705,-60.537299029,-21.2545686992,66.7650629106,34.2200394139,-65.8510410466,15.7708229709
69.0306129779,66.5282218934,21.6873539635,1.38147628196,98.3747431705,-60.537299029,-21.2545686992,66.7650629106,34.2200394139,-65.8510410466,15.7708229709
71.1002544873,68.5360002323,22.3700837448,1.42599704822,101.364535734,-62.3312575616,-21.8382754528,68.7594591295,35.244780278,-67.8109100161,16.2793600538
73.054195541,70.3740924892,22.9358467284,1.46979929585,104.049102533,-64.0544459482,-22.47035137,70.644495215,36.211874955,-69.6755521934,16.6756655668
74.325321931,71.5864402689,23.3252849011,1.49951067832,105.812436487,-65.1542730563,-22.8477020767,71.8589581392,36.835160952,-70.8659719046,16.9608905671
75.2652379838,72.4830060185,23.6146488803,1.5259095979,107.139461838,-65.960283551,-23.1280572912,72.7635541801,37.2949409688,-71.7435108299,17.1632967447
75.30828647,72.5256171911,23.6277037498,1.52663585372,107.201409557,-66.0006781349,-23.146624364,72.8056736718,37.316467743,-71.7853736789,17.1729407024
74.8548656202,72.0805013576,23.4636444912,1.51548406789,106.532177594,-65.6171150814,-23.0288543394,72.3700989762,37.0937302471,-71.3614370698,17.0468921034
75.1728908104,72.3870380251,23.5888638706,1.53369996626,107.020902512,-65.8249773439,-23.0088148399,72.6368023337,37.2376479079,-71.6071780453,17.1573745897
71.7913820497,69.1467247309,22.5383588287,1.46384463245,102.229286398,-62.9041111223,-21.9950013795,69.38249634,35.5623618268,-68.4021618823,16.4097074507
73.0029868152,70.3179600894,22.8888605041,1.48790644491,103.936617404,-63.9957585498,-22.3896051972,70.5638175134,36.1636079135,-69.5669505473,16.6638388261
71.6452746711,69.0271580418,22.4178601395,1.44536352897,102.013662904,-62.8774173688,-22.1149302528,69.2961714042,35.49977753,-68.3244540176,16.3209515941
71.6452746711,69.0271580418,22.4178601395,1.44536352897,102.013662904,-62.8774173688,-22.1149302528,69.2961714042,35.49977753,-68.3244540176,16.3209515941
65.0909816059,62.6892335878,20.3407378117,1.32473829194,92.5990391586,-57.1456871074,-20.0834351485,62.9523957034,32.2481045521,-62.080263959,14.8124427031
65.516081563,63.058672846,20.4060410609,1.33546590686,93.0995930205,-57.5771599392,-20.2822890822,63.3723491898,32.4641015351,-62.5138378343,14.8280748245
65.09358628,62.588757813,20.2463853858,1.34194553023,92.3702957435,-57.1891864049,-20.0932090127,62.9360423898,32.2363629884,-62.0775343802,14.722224308
62.8234414944,60.3468160307,19.443615563,1.2904442547,88.9907610056,-55.2595965971,-19.4900522721,60.7426200891,31.1131146281,-59.9372762281,14.0947126522
59.4612686238,57.0114908994,18.209371946,1.22631378046,83.9321885373,-52.4215527013,-18.6449378778,57.5112842178,29.4455727983,-56.776306936,13.1592691003
60.4371832402,57.9668031611,18.5545213571,1.24174484671,85.3894054691,-53.2525314433,-18.9070458318,58.4551713627,29.923800523,-57.7004358875,13.4230946366
60.4646678292,57.9885771887,18.5717447071,1.2353576319,85.4228766292,-53.2510887311,-18.9213526306,58.4714812369,29.9370683687,-57.7198343811,13.4255337967
58.064514838,55.6354024784,17.8442534783,1.20080012303,81.9470513549,-51.0864577426,-18.07320213,56.1202762593,28.7384013166,-55.3897222475,12.8797940366
58.7432307986,56.282998756,18.0524858479,1.21833963438,82.9009360442,-51.6781505392,-18.276117195,56.7722345086,29.0732973508,-56.0314265071,13.030962202
57.3660219482,54.991597681,17.6290084742,1.18198998059,81.0224802271,-50.4649241987,-17.8511725399,55.4519809513,28.3956807276,-54.7292644195,12.7324902368
56.309542546,53.9686969497,17.3043956629,1.16674204218,79.4964445115,-49.5456350522,-17.5494311114,54.4338790131,27.8729747658,-53.7260418809,12.4956866209
53.6023426926,51.3848862769,16.4941749538,1.10113365059,75.716867744,-47.1181752114,-16.6858707974,51.7989652898,26.5261572862,-51.1218534605,11.9311956889
52.2016779136,50.0038079782,16.0084418365,1.0785740394,73.6392382637,-45.9225113181,-16.296044576,50.4499956713,25.8304947471,-49.7949485026,11.5618498477
47.1264318563,45.2386319902,14.5326960781,0.954938494078,66.6928272321,-41.4679527734,-14.6647827927,45.5719860176,23.3235887272,-44.9780243159,10.535194803
46.1719815009,44.3248061032,14.2290620631,0.930039602196,65.3616448267,-40.6238079483,-14.3715274282,44.6400945754,22.8485066334,-44.0595294812,10.3249401545
45.2096925531,43.3772453478,13.8863880108,0.913798526332,63.931762488,-39.8152442151,-14.1234208892,43.7180331102,22.3714687399,-43.1565215888,10.0686107181
45.0793399684,43.2498961604,13.8414573472,0.911247990105,63.740731142,-39.7042183094,-14.0892158546,43.5929868781,22.3070943008,-43.0343493609,10.0348075232
45.0793399684,43.2498961604,13.8414573472,0.911247990105,63.740731142,-39.7042183094,-14.0892158546,43.5929868781,22.3070943008,-43.0343493609,10.0348075232
43.3206130557,41.5767869347,13.2980238618,0.881170508292,61.281232006,-38.1788872344,-13.5637594843,41.9072366117,21.4451105299,-41.3764805436,9.64087213971
38.2585176364,36.7720160984,11.826975852,0.764923432828,54.2897352501,-33.6266488083,-11.8891315481,36.9811138655,18.9248538201,-36.4815858407,8.61825736538
41.1077259689,39.485028685,12.638508632,0.83600000823,58.2485689078,-36.2165361724,-12.9184560774,39.7765643269,20.3407789433,-39.2401520451,9.1878445487
39.0716827093,37.5102628112,11.9660106489,0.800358413627,55.3096358958,-34.4667253241,-12.3307687491,37.8223175202,19.3345705126,-37.3136823748,8.68825609219
41.3489813727,39.704398758,12.6902293474,0.845729178663,58.5716382103,-36.4486809709,-12.9993009493,40.0117061634,20.4586608498,-39.4659234626,9.2042707062
41.3643489298,39.7771770687,12.745052307,0.839321808488,58.733094343,-36.4521849536,-12.9485079727,40.0314476723,20.4682932484,-39.4801608999,9.26468570468
36.5433742119,35.1528917981,11.2770822524,0.73626632666,51.9168032566,-32.1584365417,-11.4286290584,35.3588824503,18.0742547836,-34.845827234,8.21168884196
35.2297089643,33.9374746191,10.926131078,0.706457800331,50.1604535706,-30.9816947957,-10.9777396042,34.0969314647,17.4241646873,-33.5851748158,7.96877848002
39.7016008487,38.2785470223,12.3813893937,0.80712183992,56.6304857732,-34.8550476767,-12.2561131339,38.4284167037,19.6397548938,-37.8230734273,9.0129742177
40.0953641668,38.6553909609,12.4877004196,0.811358921041,57.182449594,-35.2004100493,-12.388981442,38.8088540039,19.8395212081,-38.1987662582,9.07729493148
38.6277506054,37.2483748515,12.0037921514,0.780842362214,55.1013799664,-33.977581048,-11.9930754499,37.4139659709,19.1116064039,-36.8319695079,8.72579816329
