happy joy love / sad,empathy / apathy,hope / despair,agree / disagree,compliment praise / criticize,calm / concern fear anxiety,comfort / pain discomfort,surprise awe / ,satisfaction / , / frustration anger, / annoyance
71.922388961,69.2297762704,22.8122033925,1.5938843324,102.358548596,-62.7206026985,-21.4828045797,69.4867213503,35.5210981287,-68.2523604909,16.6415254072
72.835533134,70.1028801102,23.0993436591,1.61402155159,103.642188184,-63.5095644521,-21.7610540367,70.3631712945,35.9680163105,-69.1155516205,16.8516264104
80.1217931113,77.0158985751,25.2586995002,1.7900784973,113.752757526,-69.9483074841,-24.0720532159,77.4155958386,39.5693893816,-76.0634622795,18.3775877829
77.0842641758,74.0499721864,24.2853274234,1.73479900243,109.334189297,-67.2674136138,-23.1123697812,74.4631662583,38.0624087631,-73.1590900518,17.654533242
76.5070558204,73.4960401815,24.1030041462,1.72557714702,108.517869795,-66.7630146669,-22.9463339059,73.904264603,37.7788829812,-72.6127033272,17.5204980214
75.9422468331,72.9252915783,23.8873886481,1.71373306631,107.648522192,-66.2855210747,-22.8109657098,73.3593148839,37.5005583712,-72.0822856107,17.3438339926
78.3046807288,75.1609839553,24.5741396541,1.77190708043,110.900074162,-68.3657068357,-23.5566568489,75.6439116769,38.6682572283,-74.3340626676,17.8205880969
76.7221535244,73.6080890355,24.0261065699,1.74386622087,108.568782239,-67.0228483746,-23.1439582582,74.1215022357,37.8872058753,-72.8466441322,17.4059451517
77.1806598747,74.0448659592,24.1449556777,1.7562806166,109.202093384,-67.4583697434,-23.3185023326,74.5769648028,38.1125334644,-73.2981032002,17.4953682462
78.1192145044,74.9635791065,24.4179115846,1.76597802622,110.559731927,-68.3322301501,-23.6922301479,75.5105902391,38.5841246092,-74.2243652712,17.6882579154
74.0106771903,70.9910372319,23.0807570656,1.69094586902,104.614960267,-64.801620006,-22.5241412496,71.5657813,36.5680080749,-70.368555572,16.6878137985
69.1635732235,66.3553191696,21.5514724369,1.57266339905,97.7369286162,-60.6368049851,-21.104353438,66.9188591565,34.1779809366,-65.8071325356,15.5628572433
71.5148329828,68.5982185246,22.2766279817,1.62261498719,101.045791086,-62.6743461609,-21.8157635859,69.1785367008,35.3420231965,-68.0349279298,16.085678558
69.0498799533,66.2442454337,21.4951168125,1.55830551215,97.5800689324,-60.5319227422,-21.0726302974,66.8035436059,34.1272162894,-65.7048411892,15.5163024771
69.2903617725,66.504461843,21.6154582294,1.55812630698,98.0263807955,-60.6966935593,-21.0846873856,67.019499535,34.2407734768,-65.9054470862,15.6217801094
67.2058659023,64.4518729858,20.8944472706,1.51880120456,94.9396220127,-58.9106939714,-20.5135269099,65.0097855513,33.209259105,-63.9315124431,15.0744783586
66.6740688537,63.9098821861,20.7241613692,1.49756058372,94.1276418868,-58.3989627675,-20.3253983576,64.4683460659,32.9363148827,-63.3898007109,14.9478348113
66.8393470588,64.0630315054,20.7686633771,1.50466919566,94.3550030749,-58.5499469991,-20.3879284482,64.6317756389,33.0176860143,-63.5475780071,14.9734541971
67.7528072396,64.9332897259,21.0371663868,1.52693788621,95.6316144775,-59.3789653039,-20.6895223397,65.5199171628,33.4714438726,-64.4286067251,15.161831435
