happy joy love / sad,empathy / apathy,hope / despair,agree / disagree,compliment praise / criticize,calm / concern fear anxiety,comfort / pain discomfort,surprise awe / ,satisfaction / , / frustration anger, / annoyance
96.8322481649,92.9033065834,30.2123973915,2.1640273296,136.993355487,-84.7487234972,-29.4296900305,93.6255837673,47.8393010251,-92.0443733698,21.8465007866
97.5621846064,93.6168113703,30.4536852093,2.18088630797,138.059102294,-85.3811364115,-29.6408220444,94.3323052565,48.1995469457,-92.737887473,22.0325122588
98.6680486508,94.6824964108,30.832398907,2.21591156126,139.642438116,-86.3027310451,-29.9400271793,95.3889046696,48.740015674,-93.7616039766,22.313922312
95.6305197153,91.7165700222,29.8590268301,2.16063206639,135.223869886,-83.6218371748,-28.9803437446,92.4364750893,47.2330350555,-90.8572317489,21.5908677711
95.9355634479,92.0389087106,29.9544601112,2.15990060574,135.714043071,-83.9235595409,-29.1501553953,92.7527878136,47.3926609484,-91.1764947595,21.6633689664
94.9711377894,91.093088962,29.6249165604,2.13863184651,134.295917799,-83.0938995094,-28.8838857912,91.8203189552,46.9174998805,-90.2655876496,21.4093870922
94.6087832772,90.7417362617,29.5106070379,2.1315316375,133.772557356,-82.7720565542,-28.772471622,91.4643045311,46.7379838408,-89.9163089811,21.3284038674
92.7327035677,88.9119392736,28.8779377547,2.09550244793,131.036072831,-81.163510325,-28.2632181887,89.6566112133,45.8125742765,-88.1483697245,20.8572824238
91.945331266,88.1396974755,28.6043541019,2.0814140289,129.874864894,-80.4978332976,-28.0529515144,88.9016705111,45.4224537524,-87.4076074045,20.6536153486
91.945331266,88.1396974755,28.6043541019,2.0814140289,129.874864894,-80.4978332976,-28.0529515144,88.9016705111,45.4224537524,-87.4076074045,20.6536153486
85.8832905477,82.3470732659,26.7367721552,1.94996252578,121.338974339,-75.20624854,-26.222993301,83.0473173021,42.4361041415,-81.6652268326,19.3100289549
79.512371645,76.2920079002,24.792669871,1.79849628741,112.424028383,-69.6730665763,-24.2813175731,76.9187813528,39.2916395299,-75.634899088,17.9122532986
