happy joy love / sad,empathy / apathy,hope / despair,agree / disagree,compliment praise / criticize,calm / concern fear anxiety,comfort / pain discomfort,surprise awe / ,satisfaction / , / frustration anger, / annoyance
151.448338635,145.894962372,47.6023101866,3.1140959672,215.893680464,-132.472461636,-46.1493919423,146.378419687,74.9592068656,-144.14320091,34.6246862069
150.59236323,145.072010524,47.3303917658,3.0942708607,214.669002381,-131.728732283,-45.8918152578,145.556007422,74.5363243129,-143.332371528,34.4302677169
148.205989035,142.744922744,46.5041674513,3.03301791599,211.192106448,-129.715721374,-45.252993665,143.264879689,73.3551966313,-141.098460818,33.8221250534
147.260428406,141.819757049,46.1870054279,3.01435652029,209.805387223,-128.900701487,-44.981081362,142.354897068,72.8872913274,-140.202643582,33.5839026516
145.883618207,140.507354434,45.7701794625,2.98791871173,207.87320488,-127.695258374,-44.5609877543,141.016996553,72.2086385342,-138.891309628,33.2886821984
143.366680799,138.078292602,44.9586554836,2.93690395301,204.256532862,-125.532602192,-43.834419903,138.604644918,70.9678480059,-136.519984408,32.6943816129
141.846937492,136.606837398,44.4621322721,2.90412004515,202.068481065,-124.221962607,-43.3963672484,137.143543371,70.2139502861,-135.081938529,32.331611896
141.436237412,136.21107908,44.3406281526,2.89610192744,201.47917305,-123.863252411,-43.2689131286,136.745571441,70.0111521173,-134.688385377,32.2408932032
140.765795866,135.564145571,44.1240626006,2.88430379519,200.523878065,-123.27790062,-43.0772709183,136.0937267,69.6804232212,-134.051234883,32.0843660125
140.898768983,135.727884973,44.1861434309,2.88994916685,200.786382517,-123.392218084,-43.1100441245,136.229475497,69.7544410479,-134.191663816,32.1297341048
145.750047751,140.403601613,45.6620225332,2.9771087938,207.707283547,-127.677563674,-44.6811405792,140.941407762,72.1656909617,-138.843147847,33.1832506767
146.218085109,140.903316103,45.8442904944,2.98362239568,208.478227071,-128.086003131,-44.8134550366,141.391616612,72.4058925966,-139.29712447,33.3311860068
147.29685208,141.953963917,46.1918575954,3.00471665464,210.050138021,-129.014812857,-45.1143784503,142.429530925,72.9400157789,-140.316081503,33.5866907756
147.29685208,141.953963917,46.1918575954,3.00471665464,210.050138021,-129.014812857,-45.1143784503,142.429530925,72.9400157789,-140.316081503,33.5866907756
147.29685208,141.953963917,46.1918575954,3.00471665464,210.050138021,-129.014812857,-45.1143784503,142.429530925,72.9400157789,-140.316081503,33.5866907756
147.276786331,141.934867175,46.1855065707,3.00432345683,210.021804849,-128.997478398,-45.1083259539,142.410210291,72.9301798704,-140.296942212,33.5821761843
151.651875612,146.15017341,47.5539002718,3.09080644297,216.273047565,-132.848247156,-46.4322397959,146.645516826,75.0897122336,-144.468488796,34.5921934591
155.892927375,150.272445594,48.9298160666,3.15791058117,222.429239284,-136.547444295,-47.7506344281,150.762412933,77.1873705098,-148.502450044,35.5953938203
153.660015984,148.136450203,48.245197312,3.10402034239,219.266885451,-134.609245314,-47.088757792,148.617516126,76.085382572,-146.396018421,35.1159794523
153.749586149,148.184194537,48.2121433435,3.1037041163,219.281367809,-134.772657858,-47.1856880514,148.746397591,76.1364361548,-146.541294343,35.0564112799
151.11836479,145.625503118,47.3555582661,3.04738199258,215.472615279,-132.479831246,-46.4162544468,146.203343175,74.8332742737,-144.036389041,34.4141661094
149.707077897,144.245610565,46.899035928,3.02058575701,213.407341434,-131.245446723,-46.010606803,144.831258088,74.1336390684,-142.689358891,34.0823768225
154.699271706,149.119368022,48.4771730042,3.10742826744,220.675468558,-135.656021513,-47.5764272757,149.697616687,76.6154331041,-147.481804006,35.2390305026
157.553526828,151.837374413,49.3590967233,3.17139097343,224.676806881,-138.144033879,-48.4464380513,152.44794006,78.0259066977,-150.192457222,35.8792267832
158.820203624,153.080417946,49.8009857213,3.20278807337,226.540263113,-139.230016151,-48.7970378269,153.673193892,78.6499592664,-151.388565676,36.2168738762
159.491075714,153.733285563,50.0379589172,3.21436486244,227.535663877,-139.789773344,-48.9721895865,154.30393197,78.9728209979,-152.004502457,36.4160865814
158.835519841,153.104514183,49.8072908028,3.20096958882,226.596897712,-139.264236607,-48.8190414818,153.688579223,78.6519417031,-151.410096011,36.2546158597
154.703071798,149.142153441,48.4776031761,3.1106499743,220.698054402,-135.756877613,-47.6338031378,149.742833209,76.613090168,-147.539108819,35.2922942201
160.134030592,154.437709529,50.2883110959,3.22218864006,228.584018473,-140.422887485,-49.1665753435,154.970545589,79.2938535013,-152.672793146,36.6505712184
162.275591202,156.528315828,50.9915226482,3.26515391811,231.713517134,-142.27150115,-49.768287448,157.034384173,80.3521607661,-154.699516314,37.1779521763
169.115923283,163.054547322,53.0920564494,3.41588083076,241.357615149,-148.228025325,-51.828088511,163.63195357,83.7179547974,-161.177530786,38.7224738043
170.417591747,164.339733788,53.5280738312,3.43389885364,243.280579493,-149.369369029,-52.2191358755,164.898032993,84.3647088561,-162.433912242,39.0611397355
172.210104145,166.070370944,54.095875032,3.46954323359,245.86069034,-150.924645803,-52.7378066054,166.623683553,85.2518256039,-164.134564414,39.4727949964
176.312261809,169.952014651,55.3106158223,3.56147244772,251.546294964,-154.556943645,-54.0437888326,170.599203342,87.2773485007,-168.057583119,40.3401876676
176.808750112,170.398484687,55.3949606441,3.57106947516,252.155649309,-155.050802098,-54.2658429219,171.099647565,87.5291759736,-168.568397951,40.3806046674
174.917309444,168.561713104,54.8475130325,3.5462637103,249.469175644,-153.30205649,-53.5463491723,169.222016212,86.5773504673,-166.699102912,39.996322981
172.461133416,166.22882817,54.1199912721,3.49225291061,246.042880492,-151.162933244,-52.7797654555,166.855545639,85.3605778166,-164.36382945,39.4878936314
173.8508277,167.558856976,54.5452888569,3.52013117362,247.988889091,-152.389896476,-53.2091678424,168.207166232,86.0538184618,-165.699841103,39.7803506972
173.296841034,167.050051449,54.40450382,3.50948587057,247.263305347,-151.871076419,-52.9979304204,167.672482021,85.7757254987,-165.158871746,39.6925351247
176.348196414,169.932582773,55.3006792881,3.58444370409,251.469276806,-154.543606574,-53.9678114464,170.61166253,87.2831044086,-168.058474637,40.3277002387
171.545053302,165.239640559,53.70773229,3.50504682267,244.432085568,-150.398516593,-52.5299075322,165.979975753,84.9004434014,-163.507360956,39.1390387487
174.614075527,168.190593562,54.6488372997,3.57377438206,248.788865782,-153.09990287,-53.4477672788,168.953756123,86.4223052216,-166.438227959,39.8145328716
173.450514,166.986127673,54.1708835026,3.55815361213,246.923459805,-152.143742183,-53.2176115904,167.836538336,85.8465638213,-165.355664678,39.4368288898
172.784231974,166.261449008,53.9093722247,3.55876593493,245.787418427,-151.514818956,-52.9763153308,167.152872617,85.5028786474,-164.687840255,39.2218271587
167.809141728,161.38849108,52.2058954132,3.4643880625,238.451813617,-147.249634536,-51.6135343506,162.35258973,83.0426018353,-159.97744657,37.9320655203
169.23405994,162.772633668,52.6603363347,3.49464617274,240.512939413,-148.506103995,-52.0455063516,163.740397612,83.74810427,-161.343534846,38.2707373548
167.77297984,161.365594415,52.2076163979,3.45357001555,238.456514047,-147.225595004,-51.6158975913,162.335702107,83.0295561165,-159.966920549,37.9283264018
169.938951672,163.443028696,52.9217344802,3.51773924248,241.570711462,-149.039512871,-52.1013890623,164.401843897,84.0917486285,-161.988370266,38.434398226
171.689906486,165.103019627,53.4528831051,3.55542992739,244.019553393,-150.549766193,-52.6341189489,166.08760165,84.9516631889,-163.625225962,38.8084946599
169.658060409,163.169794822,52.8292646365,3.51103232579,241.17659408,-148.762033757,-52.0121438965,164.133026768,83.9497209606,-161.697930285,38.3627667968
167.630004071,161.203950169,52.1746730322,3.47117062191,238.250172678,-147.009991069,-51.4466121015,162.183166196,82.9469158195,-159.784054454,37.8827502784
165.739483097,159.39440738,51.5984019015,3.42518791363,235.595404826,-145.310423112,-50.8451355468,160.333210731,82.0041748914,-157.96008188,37.4832013998
164.338818318,158.013329082,51.1126687842,3.40262830244,233.517775346,-144.114759219,-50.4553093255,158.984241113,81.3085123522,-156.633176922,37.1138555586
160.00877644,153.956919268,49.8574952515,3.29588762174,227.614563079,-140.33419785,-49.0678394912,154.827305684,79.1707845107,-152.532911069,36.2415194602
159.217563901,153.2282531,49.6542305187,3.27428632833,226.581268035,-139.604803335,-48.7823442774,154.054382214,78.7754128656,-151.762560532,36.1228283933
158.696071387,152.704465751,49.4388618841,3.26168184414,225.778506602,-139.181530843,-48.6689201953,153.556638375,78.5192574805,-151.281396842,35.9543263421
158.501625266,152.467025378,49.3204375777,3.26181119261,225.396466302,-139.015527755,-48.6396594303,153.373175862,78.4128176998,-151.083695422,35.8553049294
162.552691568,156.417096915,50.7146182,3.34066803062,231.317547809,-142.468269675,-49.7488774666,157.267015164,80.4180296392,-154.903030209,36.8739292445
162.37432099,156.29027991,50.6892914354,3.34134372044,231.172938412,-142.313359457,-49.6736374538,157.105949857,80.3395316327,-154.745477779,36.8666941629
158.432422646,152.560773942,49.5438975779,3.25282378226,225.730282588,-138.758941874,-48.3557502995,153.262826104,78.376302807,-150.923402435,36.0795256664
158.79803156,152.945840207,49.6933552427,3.26957138264,226.344710889,-139.075656491,-48.4265933953,153.624245613,78.5557617599,-151.265526662,36.2081976959
157.189494921,151.359814547,49.1433812842,3.24629582992,223.964930677,-137.689732339,-47.9708989261,152.069390049,77.7565161037,-149.730188268,35.7895102819
155.962561281,150.193923699,48.7816987927,3.22263071927,222.261293802,-136.594790262,-47.5736364437,150.884391088,77.1514721559,-148.553839956,35.527062951
154.090685721,148.423595008,48.2196693865,3.17656102252,219.665797361,-134.968131894,-46.9895233004,149.083203409,76.2279244906,-146.780978719,35.1230989055
150.635573993,145.119406849,47.1676572116,3.09959931373,214.800235224,-131.895416676,-45.9054786023,145.748880084,74.5131632051,-143.469540353,34.3722395869
149.297427989,143.885348505,46.8230637757,3.06884313308,213.027078296,-130.688540288,-45.4310440228,144.454573357,73.8493283059,-142.178237334,34.1432142767
145.991679287,140.669013709,45.7762866377,3.01894413704,208.249144017,-127.763509739,-44.353747311,141.237957496,72.2067044353,-139.00257583,33.3684785387
145.991679287,140.669013709,45.7762866377,3.01894413704,208.249144017,-127.763509739,-44.353747311,141.237957496,72.2067044353,-139.00257583,33.3684785387
143.922037778,138.66123537,45.0935568564,2.97442337078,205.259351454,-125.969551207,-43.7700405573,139.243561278,71.1819635712,-137.042706861,32.8599414557
142.575815408,137.403072587,44.7092769876,2.94448612274,203.427568088,-124.791990059,-43.3312097314,137.948080717,70.5167654024,-135.763034025,32.5898779651
143.614199293,138.44290728,45.0783176982,2.95852524973,205.005662177,-125.695232204,-43.6202785465,138.956154525,71.0329057499,-136.758672874,32.8797767981
144.44993525,139.278921403,45.3881731156,2.96630112288,206.271312366,-126.405676161,-43.8310218172,139.759377807,71.449356554,-137.551067654,33.1247977772
147.164591562,141.909638894,46.2306795786,3.01604426197,210.18048447,-128.799082681,-44.6681506271,142.400018798,72.7971187424,-140.156876149,33.7353601823
147.164591562,141.909638894,46.2306795786,3.01604426197,210.18048447,-128.799082681,-44.6681506271,142.400018798,72.7971187424,-140.156876149,33.7353601823
144.955125704,139.766330644,45.5580125875,2.97302259873,207.005285886,-126.84247481,-43.9686963768,140.255684087,71.7013755754,-138.041840134,33.2405960096
144.955125704,139.766330644,45.5580125875,2.97302259873,207.005285886,-126.84247481,-43.9686963768,140.255684087,71.7013755754,-138.041840134,33.2405960096
143.699679665,138.551730255,45.1900830623,2.94757077369,205.232565383,-125.715415176,-43.5643480728,139.03272054,71.0787873696,-136.837081395,32.9727230863
142.799637451,137.659424966,44.9290622549,2.94398871812,203.910329882,-124.867377513,-43.1789572733,138.128167641,70.6228464847,-135.937600499,32.7847175815
143.936499295,138.760558771,45.3041846882,2.96844827722,205.552624637,-125.839632523,-43.5061082731,139.218152437,71.1826831576,-137.007886477,33.0670651071
144.025193178,138.847599809,45.3389817954,2.97125253291,205.685704361,-125.910978627,-43.5265648574,139.301961021,71.2259092903,-137.08879824,33.0934935933
142.553926342,137.449289119,44.9033347652,2.93941734431,203.639207476,-124.588133793,-43.0459571905,137.872640145,70.4953462993,-135.66871974,32.791776264
143.674483759,138.512422748,45.231347422,2.96887596733,205.186385459,-125.563744656,-43.3876322632,138.969074395,71.0497258356,-136.732938278,33.0081137188
143.12317193,138.000071365,45.0918711061,2.95881614943,204.442292511,-125.049929201,-43.1852264946,138.433934113,70.7754042944,-136.194642471,32.9198565998
