happy joy love / sad,empathy / apathy,hope / despair,agree / disagree,compliment praise / criticize,calm / concern fear anxiety,comfort / pain discomfort,surprise awe / ,satisfaction / , / frustration anger, / annoyance
116.918194273,112.281682542,36.4443073205,2.56615681544,165.574397336,-102.440062481,-35.7831435395,113.122099777,57.7930483941,-111.239332042,26.3606995437
117.54331573,112.869906774,36.635014368,2.58769961388,166.433664429,-102.965756094,-35.9623923664,113.717550452,58.0967169443,-111.815631522,26.4987576413
117.54331573,112.869906774,36.635014368,2.58769961388,166.433664429,-102.965756094,-35.9623923664,113.717550452,58.0967169443,-111.815631522,26.4987576413
114.718617839,110.103744623,35.725791128,2.5406213209,162.308873613,-100.462761801,-35.0621446788,110.966058074,56.6930719138,-109.106540711,25.8201606117
114.141409484,109.549812618,35.5434678509,2.53139946549,161.492554111,-99.9583628538,-34.8961088035,110.407156419,56.4095461319,-108.560153987,25.6861253911
113.176983825,108.603992869,35.2139243001,2.51013070626,160.07442884,-99.1287028223,-34.6298391994,109.474687561,55.934385064,-107.649246877,25.4321435168
112.814629313,108.252640169,35.0996147775,2.50303049725,159.551068396,-98.8068598671,-34.5184250301,109.118673137,55.7548690243,-107.299968208,25.351160292
112.024448843,107.434483954,34.7799280445,2.49497706085,158.282616109,-98.1420836255,-34.3597364967,108.356584459,55.3653981418,-106.559730454,25.0921576236
112.501521115,107.888912525,34.9230105876,2.50986064942,158.946329009,-98.5845566601,-34.5201031041,108.824478246,55.5979567676,-107.019237945,25.2036741256
113.842801013,109.187755098,35.3502481228,2.53813998476,160.872679259,-99.7649796601,-34.9239275599,110.124966717,56.2596932147,-108.30045901,25.527197975
107.780760294,103.395130888,33.4826661761,2.40668848164,152.336788705,-94.4733949024,-33.0939693466,104.270613508,53.2733436038,-102.558078438,24.1836115812
101.409841392,97.3400655224,31.5385638919,2.25522224327,143.421842748,-88.9402129387,-31.1522936186,98.1420775585,50.1288789922,-96.5277506932,22.785835925
101.772195904,97.6914182228,31.6528734145,2.26232245228,143.945203192,-89.2620558939,-31.2637077878,98.4980919827,50.3083950319,-96.8770293617,22.8668191498
100.004068373,96.0204656167,31.1034591847,2.21401679261,141.50086828,-87.7241282237,-30.7208772347,96.7979793208,49.437535206,-95.2090038159,22.4774717831
101.933283855,97.9466063399,31.8369288013,2.25241846059,144.450962851,-89.3049746405,-31.1785787487,98.6385193166,50.3833690834,-96.991932879,23.0576004299
