happy joy love / sad,empathy / apathy,hope / despair,agree / disagree,compliment praise / criticize,calm / concern fear anxiety,comfort / pain discomfort,surprise awe / ,satisfaction / , / frustration anger, / annoyance
130.71637737,125.592038623,40.87488463,2.87072489518,185.310409236,-114.39020014,-39.8877718918,126.436580075,64.6008618474,-124.297321284,29.624755706
131.495709156,126.351056334,41.1259769387,2.88596398475,186.446002186,-115.061198568,-40.1051674809,127.186398744,64.9867275482,-125.033444678,29.8093395809
134.448023724,129.235132725,42.092355435,2.94844979465,190.759962569,-117.612186921,-40.9405641299,130.035796947,66.4463531122,-127.829813855,30.5385647591
132.934013177,127.754608783,41.6154775155,2.92577975988,188.561556588,-116.246955149,-40.4130823028,128.55338921,65.6922046481,-126.367536519,30.1887487469
132.505485538,127.345487106,41.4839921557,2.91986429037,187.962200008,-115.866624357,-40.2860038273,128.136714862,65.4813335208,-125.959051783,30.0928753885
131.54105988,126.399667357,41.1544486049,2.89859553114,186.544074736,-115.036964326,-40.0197342232,127.204246003,65.006172453,-125.048144673,29.8388935142
131.178705367,126.048314657,41.0401390823,2.89149532213,186.020714292,-114.715121371,-39.9083200539,126.848231579,64.8266564132,-124.698866005,29.7579102894
129.302625658,124.218517669,40.4074697992,2.85546613256,183.284229768,-113.106575142,-39.3990666207,125.040538262,63.901246849,-122.930926748,29.2867888459
129.222478958,124.126937632,40.350528511,2.8519257765,183.125753731,-113.06599098,-39.3984046414,124.97426162,63.8606112296,-122.865993964,29.2432617667
133.533604333,128.287908196,41.7800718172,2.95611753814,189.309605292,-116.793842109,-40.6487826276,129.127027197,65.9856115472,-126.934009087,30.3042134577
127.471563615,122.495283987,39.9124898705,2.82466603502,180.773714738,-111.502257351,-38.8188244142,123.272673988,62.9992619363,-121.191628515,28.9606270639
121.100644712,116.440218621,37.9683875863,2.67319979665,171.858768781,-105.969075387,-36.8771486863,117.144138039,59.8547973247,-115.161300771,27.5628514077
