happy joy love / sad,empathy / apathy,hope / despair,agree / disagree,compliment praise / criticize,calm / concern fear anxiety,comfort / pain discomfort,surprise awe / ,satisfaction / , / frustration anger, / annoyance
175.143513073,168.715558582,54.9518848514,3.54986487598,249.676487708,-153.328479666,-53.5198610852,169.350120458,86.6860297354,-166.783367081,39.9473853658
174.503262418,168.094973024,54.7439496391,3.5349594778,248.750549234,-152.765534294,-53.326177864,168.731431433,86.3692552031,-166.172365118,39.7992733972
175.623186192,169.250522386,55.0800866728,3.53470135358,250.514185999,-153.830859445,-53.7661814897,169.871642915,86.9392125421,-167.306327226,40.0562333633
178.243426345,171.729531479,55.8710963233,3.59651167511,254.150218115,-156.118434464,-54.5768556161,172.394955092,88.2328111292,-169.7900426,40.6220821954
178.133292941,171.660172397,55.8961593559,3.60147096648,254.081492004,-155.998973623,-54.507361784,172.282308409,88.1782109046,-169.6748171,40.6645088353
176.853368833,170.405272981,55.4588622542,3.57664512654,252.187639565,-154.928268604,-54.1682520013,171.062403588,87.5448451383,-168.481069846,40.3485189816
176.266999406,169.845800843,55.2709333753,3.56528981544,251.362073794,-154.427598269,-54.0015276454,170.50492344,87.251456039,-167.929863306,40.2232679565
177.540820872,171.035185758,55.6154568832,3.59825774852,253.061443502,-155.601610814,-54.4442625893,171.755516115,87.8859829524,-169.170824821,40.4509386724
182.301338121,175.683808338,57.2095992511,3.69799828203,259.992112588,-159.682268895,-55.7853925848,176.331383755,90.2360173895,-173.667358654,41.65268848
183.005406002,176.399262668,57.4422758821,3.71171708619,261.082304485,-160.298070644,-55.9776525076,177.014290925,90.5901974869,-174.343801672,41.8352992087
189.845738084,182.925494163,59.5428096833,3.86244399885,270.7264025,-166.254594819,-58.0374535706,183.611860322,93.9559915182,-180.821816145,43.3798208366
189.913808549,183.051203681,59.6139616956,3.85517204436,270.940534919,-166.323102466,-58.056637937,183.683383577,94.0001786356,-180.91573975,43.4580230182
191.706320946,184.781840837,60.1817628963,3.8908164243,273.520645766,-167.878379241,-58.575308667,185.409034137,94.8872953835,-182.616391922,43.8696782792
195.80847861,188.663484544,61.3965036867,3.98274563844,279.20625039,-171.510677083,-59.8812908942,189.384553926,96.9128182802,-186.539410627,44.7370709503
196.758387763,189.555070413,61.6449077671,4.00349445172,280.484836699,-172.388098589,-60.2211150082,190.320572845,97.387383249,-187.474162068,44.9035365492
196.738322014,189.535973671,61.6385567424,4.00310125391,280.456503527,-172.370764131,-60.2150625118,190.301252212,97.3775473405,-187.455022778,44.8990219579
197.439581677,190.228426083,61.8907632629,4.01539811335,281.505179147,-172.956537636,-60.3981081866,190.971933721,97.7259806485,-188.112579613,45.0862501021
198.873117233,191.601819919,62.3334886976,4.04466638894,283.516577243,-174.218913074,-60.8372550599,192.365196688,98.4405634129,-189.488561341,45.3924487158
197.923842782,190.728392768,62.1083869066,4.02280592399,282.264525937,-173.352294353,-60.4912534057,191.446517984,97.9710408915,-188.572865561,45.2537543387
199.141367956,191.851875003,62.4461271895,4.05911967577,283.890973629,-174.433739402,-60.9004929783,192.628406795,98.5725591679,-189.743554167,45.480754359
197.955998241,190.641784018,61.9787124425,4.03941428835,282.020153067,-173.456613762,-60.6319983247,191.500869754,97.9869959549,-188.639096606,45.0874381882
199.758970235,192.360934894,62.513154047,4.08204934143,284.533471963,-175.06135798,-61.1894234534,193.249350253,98.8819801431,-190.368254935,45.4695772197
201.84126802,194.341711839,63.171057262,4.1301602605,287.453274001,-176.854749335,-61.8204399791,195.249308568,99.9103338426,-192.338837313,45.9398612208
