happy joy love / sad,empathy / apathy,hope / despair,agree / disagree,compliment praise / criticize,calm / concern fear anxiety,comfort / pain discomfort,surprise awe / ,satisfaction / , / frustration anger, / annoyance
110.12007063,105.988501594,34.5758042428,2.2660831908,156.752712334,-96.2245334946,-33.4997980838,106.361235015,54.5124385063,-104.765399133,25.1084057654
110.164137438,106.057855035,34.5649066295,2.24984013986,156.850269752,-96.3288418044,-33.6276121988,106.443375649,54.5454968385,-104.854050646,25.1019927802
106.246888113,102.296903189,33.3136370674,2.16222174084,151.283760495,-92.9406552274,-32.4798855861,102.672608898,52.6111599568,-101.150698273,24.195238879
105.301327483,101.371737494,32.996475044,2.14356034515,149.897041271,-92.1256353398,-32.2079732831,101.762626277,52.1432546528,-100.254881037,23.9570164772
105.430328129,101.491837169,33.0263853375,2.15007382291,150.060896608,-92.2729901758,-32.2778553637,101.886908523,52.2123090861,-100.396677428,23.9717873137
105.56263461,101.614967102,33.0703661451,2.15010459568,150.237949055,-92.4064392483,-32.3266743178,102.024562749,52.2757794861,-100.530282913,24.0143977396
105.047623982,101.100979115,32.8773785081,2.13853229156,149.46322217,-91.9931781724,-32.2087974564,101.53417618,52.0189408033,-100.054469451,23.8659337408
105.792877111,101.788510688,33.0562101388,2.15475263486,150.440636124,-92.6666378135,-32.4713941092,102.254759601,52.3824458825,-100.767359703,23.9944482916
106.657812676,102.637631814,33.3530732115,2.17453784795,151.719944396,-93.3992187442,-32.7067115698,103.079947006,52.8059391388,-101.576920887,24.2264113293
106.149422142,102.150550755,33.1842023634,2.16382803735,150.993147833,-92.9585191278,-32.5763232304,102.586875971,52.557633543,-101.100070801,24.1018265211
106.149422142,102.150550755,33.1842023634,2.16382803735,150.993147833,-92.9585191278,-32.5763232304,102.586875971,52.557633543,-101.100070801,24.1018265211
105.594540103,101.638670085,33.0275693635,2.15607757133,150.238200598,-92.4773758676,-32.4073752973,102.044278053,52.289962636,-100.57931721,23.9925309369
106.824155331,102.83334704,33.4095977422,2.17806915275,152.016517012,-93.5527440948,-32.7700898082,103.23078211,52.8997607218,-101.747251158,24.2706354433
107.277576181,103.278462873,33.5736570008,2.18922093859,152.685748976,-93.9363071483,-32.8878598329,103.666356806,53.1224982176,-102.171187768,24.3966840424
107.277576181,103.278462873,33.5736570008,2.18922093859,152.685748976,-93.9363071483,-32.8878598329,103.666356806,53.1224982176,-102.171187768,24.3966840424
107.257510432,103.259366131,33.5673059761,2.18882774078,152.657415804,-93.9189726895,-32.8818073365,103.647036172,53.1126623092,-102.152048477,24.3921694511
