happy joy love / sad,empathy / apathy,hope / despair,agree / disagree,compliment praise / criticize,calm / concern fear anxiety,comfort / pain discomfort,surprise awe / ,satisfaction / , / frustration anger, / annoyance
47.956332298,46.1236019481,15.1522322123,1.07033058451,68.1659145254,-41.7852870388,-14.3882768055,46.3368048846,23.6787679811,-45.5006233544,11.0606008361
49.3528682361,47.4714715711,15.5941469258,1.10208988237,70.1611752733,-43.0210644851,-14.8146035453,47.6846525817,24.3717745462,-46.8340013603,11.3832462238
49.3528682361,47.4714715711,15.5941469258,1.10208988237,70.1611752733,-43.0210644851,-14.8146035453,47.6846525817,24.3717745462,-46.8340013603,11.3832462238
47.9166911397,46.0488388212,15.1206157437,1.07843021868,68.025220507,-41.7568186762,-14.3433024383,46.2875825624,23.6541015121,-45.457252758,11.0334336673
48.5304750527,46.6094148322,15.2585791928,1.09809906974,68.8069233854,-42.3510313243,-14.5957038275,46.8958862109,23.964952054,-46.0745088214,11.1054820444
51.0176435711,49.0235870976,16.0637628045,1.14796325749,72.4098565961,-44.5074806043,-15.3092542464,49.295906467,25.1963885471,-48.432504268,11.6919981033
52.6829092603,50.658215961,16.6344700229,1.18213502824,74.868766028,-45.9168673551,-15.7436087071,50.8894274572,26.0193716652,-49.9922025904,12.1209237755
51.9183030046,49.9064182589,16.3698869922,1.16845819364,73.7321207969,-45.2742597404,-15.555620316,50.1593258446,25.641013501,-49.27639249,11.9226358813
51.1309307028,49.1341764608,16.0963033394,1.1543697746,72.5709128599,-44.6085827131,-15.3453536417,49.4043851424,25.2508929769,-48.5356301701,11.7189688061
52.9526480127,50.910898552,16.7281389625,1.19142683006,75.2228847546,-46.1634708128,-15.8337920459,51.1575641885,26.1465145121,-50.2489673299,12.1946402877
47.0476190655,45.2711730095,14.9108162647,1.06332007203,66.9133544495,-41.0105959265,-14.0525400663,45.4556617209,23.2377774354,-44.6566655688,10.8888461637
40.6767001628,39.2161076438,12.9667139805,0.911853833657,57.9984084928,-35.4774139628,-12.1108643384,39.3271257716,20.0933128238,-38.6263378241,9.49107050742
42.4448943056,40.9183168481,13.5201040293,0.94663958939,60.5204669568,-37.0272505948,-12.6308920888,41.0354889437,20.9659257156,-40.3035723448,9.89091139676
40.7893757585,39.3670635093,13.0499710276,0.901256919346,58.2664980139,-35.5581922425,-12.0855928216,39.4347650224,20.1493832484,-38.7288665212,9.56033285559
40.9049511441,39.4733776072,13.1081538177,0.902822536736,58.4483451679,-35.6129027861,-12.097125449,39.5236123347,20.2000936825,-38.8074135544,9.61222456504
40.7807540584,39.2877701518,13.0032444864,0.913009230031,58.1063343813,-35.5382066117,-12.1306389008,39.399416414,20.1341507272,-38.6864549388,9.51393988202
38.0815895998,36.7071478639,12.1909625612,0.848835605408,54.3149790145,-33.1378903221,-11.2846321557,36.7678598231,18.7951738035,-36.093215917,8.93535362974
37.6197114394,36.2557632858,12.0285032064,0.839115972762,53.6436247498,-32.7437370467,-11.1592516329,36.3249228923,18.56743356,-35.6572370623,8.81394789925
37.6197114394,36.2557632858,12.0285032064,0.839115972762,53.6436247498,-32.7437370467,-11.1592516329,36.3249228923,18.56743356,-35.6572370623,8.81394789925
36.922885941,35.5727428009,11.796406267,0.823112157383,52.6222375077,-32.1392412981,-10.9589488975,35.6500424592,18.2234864788,-34.9951758675,8.63391918499
35.4811548011,34.1817050184,11.3438933444,0.797045016627,50.564077269,-30.8814563764,-10.5147399757,34.2595579896,17.5133916469,-33.6230120051,8.29295562796
34.5573984805,33.2789358621,11.0189746349,0.777605751337,49.2213687394,-30.0931498255,-10.26397893,33.3736841279,17.0579111599,-32.7510542955,8.05014416698
35.6781051742,34.3098836665,11.2737737393,0.803172645474,50.663897872,-31.1323745216,-10.6810190043,34.4745251517,17.6200059742,-33.8508559005,8.19449791781
35.6781051742,34.3098836665,11.2737737393,0.803172645474,50.663897872,-31.1323745216,-10.6810190043,34.4745251517,17.6200059742,-33.8508559005,8.19449791781
37.5541848838,36.1396806546,11.9064430225,0.839201835044,53.4003823968,-32.7409207509,-11.1902724375,36.2822184695,18.5454155384,-35.6187951572,8.66561936137
37.0083129611,35.6159705345,11.7340213807,0.830559225728,52.628992057,-32.2635129501,-11.0339114741,35.75320254,18.2772456594,-35.1018820529,8.53891691999
35.908231608,34.5681154555,11.4497753006,0.809263364759,51.1230272637,-31.2315463818,-10.5922611181,34.6534728196,17.7205675861,-34.0129410665,8.35515950157
43.1944915853,41.4811339204,13.6091311418,0.985320310472,61.2335966066,-37.6702894138,-12.9032602974,41.7058973637,21.3219406572,-40.9608517255,9.88112087404
